feature,importance,C_value
missingindicator_Fosfatasa Alcalina_kurtosis,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_skewness,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_median,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_mean,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_quartile3,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_quartile1,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_rms,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_iqr,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_max,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_sum,0.010178158510365316,0.01
missingindicator_Fosfatasa Alcalina_std,0.010178158510365316,0.01
GPT_quartile3,0.010087589699102204,0.01
GPT_kurtosis,0.010064557435803038,0.01
Crizotinib,0.010001034318257593,0.01
missingindicator_Albumina_quartile3,0.009994415942640557,0.01
missingindicator_Albumina_iqr,0.009994415942640557,0.01
missingindicator_Albumina_max,0.009994415942640557,0.01
missingindicator_Albumina_quartile1,0.009994415942640557,0.01
missingindicator_Albumina_rms,0.009994415942640557,0.01
missingindicator_Albumina_skewness,0.009994415942640557,0.01
missingindicator_Albumina_mean,0.009994415942640557,0.01
missingindicator_Albumina_median,0.009994415942640557,0.01
missingindicator_Albumina_std,0.009994415942640557,0.01
missingindicator_Albumina_sum,0.009994415942640557,0.01
missingindicator_Albumina_min,0.009994415942640557,0.01
missingindicator_Albumina_kurtosis,0.009994415942640557,0.01
Creatinina_quartile1,0.009957660926886476,0.01
GGT_skewness,0.009941655458937939,0.01
GGT_rms,0.009917869693896644,0.01
TTPa (s)_rms,0.009917181856121482,0.01
Creatinina_std,0.00989884549487199,0.01
Potasio_rms,0.009779637357856285,0.01
missingindicator_TNMIV,0.009712928788806655,0.01
GGT_initial,0.009616135761822738,0.01
Potasio_mean,0.009524414934981478,0.01
LDH_std,0.009508820616169677,0.01
ERC,0.009506434410221306,0.01
Urea_sum,0.009484879295898033,0.01
Albumina_rms,0.009420633179181955,0.01
Sodio_quartile1,0.009403084915274166,0.01
missingindicator_Potasio_initial,0.009372049801054341,0.01
missingindicator_Sodio_initial,0.009372049801054341,0.01
NeoHEM,0.009355794022055422,0.01
Osimertinib,0.00933159714839246,0.01
Glucosa_median,0.009267355643686503,0.01
GOT_rms,0.00925917893794832,0.01
Creatinina_max,0.00925403307638469,0.01
Potasio_homogeneous,0.009203996693180002,0.01
missingindicator_GGT_min,0.009194461387332868,0.01
missingindicator_GGT_kurtosis,0.009194461387332868,0.01
missingindicator_GGT_quartile1,0.009194461387332868,0.01
missingindicator_GGT_rms,0.009194461387332868,0.01
missingindicator_GGT_skewness,0.009194461387332868,0.01
missingindicator_GGT_max,0.009194461387332868,0.01
missingindicator_GGT_std,0.009194461387332868,0.01
missingindicator_GGT_mean,0.009194461387332868,0.01
missingindicator_GGT_sum,0.009194461387332868,0.01
missingindicator_GGT_median,0.009194461387332868,0.01
missingindicator_GGT_quartile3,0.009194461387332868,0.01
missingindicator_GGT_iqr,0.009194461387332868,0.01
Afatinib,0.009065407920763071,0.01
Fosfatasa Alcalina_rms,0.008906565495128749,0.01
Gefitinib,0.008856858374349153,0.01
missingindicator_LDH_median,0.008848493001258626,0.01
missingindicator_LDH_quartile3,0.008848493001258626,0.01
missingindicator_LDH_max,0.008848493001258626,0.01
